Predicted_X,Predicted_Y,True_X,True_Y
3.565645217895507812e-01,-2.086302638053894043e-01,3.311455249786376953e-01,-1.470093429088592529e-01
3.549878597259521484e-01,-6.642183065414428711e-01,3.673419356346130371e-01,-6.544016003608703613e-01
6.149494051933288574e-01,1.517316102981567383e-01,6.402800679206848145e-01,1.940540075302124023e-01
6.197236776351928711e-01,-2.820553183555603027e-01,6.427056193351745605e-01,-2.265872508287429810e-01
-3.420344293117523193e-01,-4.676380753517150879e-01,-3.181560933589935303e-01,-4.396996200084686279e-01
-4.984013736248016357e-01,-1.726728230714797974e-01,-5.153067111968994141e-01,-1.041660681366920471e-01
8.023077249526977539e-01,1.961567439138889313e-02,7.986055016517639160e-01,1.205756515264511108e-02
4.876804947853088379e-01,4.293152093887329102e-01,5.245736241340637207e-01,4.196119904518127441e-01
7.932584285736083984e-01,-1.447134166955947876e-01,8.011180162429809570e-01,-9.393618255853652954e-02
5.800643563270568848e-01,-6.312730312347412109e-01,5.589581727981567383e-01,-5.533087849617004395e-01
7.036435604095458984e-02,-5.022961497306823730e-01,6.581469625234603882e-02,-5.088618993759155273e-01
-6.001080274581909180e-01,-7.960098981857299805e-01,-5.921363234519958496e-01,-7.908409237861633301e-01
-1.599751561880111694e-01,5.542709827423095703e-01,-1.481864415109157562e-02,6.410331130027770996e-01
5.546103119850158691e-01,3.303303420543670654e-01,5.955281257629394531e-01,3.908644318580627441e-01
6.956422924995422363e-01,6.131766438484191895e-01,7.874416708946228027e-01,5.643765926361083984e-01
3.474001288414001465e-01,-1.236476004123687744e-03,3.544810414314270020e-01,5.478063598275184631e-02
-4.861764609813690186e-01,3.951128125190734863e-01,-4.722163081169128418e-01,3.202789723873138428e-01
1.205432713031768799e-01,3.738396763801574707e-01,1.361829936504364014e-01,3.503407239913940430e-01
-8.273956179618835449e-01,-4.757924675941467285e-01,-7.502487897872924805e-01,-5.091705322265625000e-01
2.178341448307037354e-01,1.963785439729690552e-01,2.650822699069976807e-01,1.713504344224929810e-01
-8.975590467453002930e-01,1.377603709697723389e-01,-8.820185065269470215e-01,1.364506185054779053e-01
5.774354934692382812e-02,-4.792906045913696289e-01,8.125642687082290649e-02,-4.381535649299621582e-01
-1.257041990756988525e-01,-4.383619427680969238e-01,-7.920472323894500732e-02,-4.066089093685150146e-01
-4.310329854488372803e-01,-1.627059876918792725e-01,-4.127757847309112549e-01,-2.207972854375839233e-01
3.681972324848175049e-01,-4.709962010383605957e-01,3.616632521152496338e-01,-4.546267092227935791e-01
1.130105741322040558e-02,-7.274718880653381348e-01,1.668271794915199280e-02,-7.746134400367736816e-01
2.949094772338867188e-01,-5.724179744720458984e-01,2.881054878234863281e-01,-5.650361776351928711e-01
3.031568229198455811e-01,5.001844465732574463e-02,3.096119761466979980e-01,3.029720485210418701e-02
4.529835879802703857e-01,7.902123332023620605e-01,5.805448293685913086e-01,7.552251219749450684e-01
7.735019922256469727e-01,-3.440197408199310303e-01,7.854620218276977539e-01,-3.204391598701477051e-01
3.891976773738861084e-01,-5.649131536483764648e-01,4.083005487918853760e-01,-4.726373851299285889e-01
2.237997800111770630e-01,5.285890102386474609e-01,2.766057848930358887e-01,5.364206433296203613e-01
2.258405089378356934e-03,-9.143794178962707520e-01,-1.657830923795700073e-02,-8.273462057113647461e-01
3.313221335411071777e-01,-8.934393525123596191e-01,3.477789759635925293e-01,-7.602656483650207520e-01
3.033294975757598877e-01,-5.437901616096496582e-01,2.823150157928466797e-01,-5.310708284378051758e-01
4.395801946520805359e-02,3.686212003231048584e-02,8.453961014747619629e-01,-4.652159661054611206e-02
-5.726016163825988770e-01,-6.798953413963317871e-01,-5.060877203941345215e-01,-6.301133036613464355e-01
-5.365180224180221558e-02,6.847093701362609863e-01,-2.272436395287513733e-02,7.348009943962097168e-01
-7.923931479454040527e-01,5.451069474220275879e-01,-7.262184619903564453e-01,5.253819227218627930e-01
1.699249148368835449e-01,-6.198499202728271484e-01,1.087780445814132690e-01,-5.848484635353088379e-01
-3.247864842414855957e-01,4.810815677046775818e-02,-2.773672044277191162e-01,5.301446095108985901e-02
3.876412212848663330e-01,3.830812871456146240e-02,3.846802115440368652e-01,1.022662892937660217e-01
-2.900763154029846191e-01,-9.062930941581726074e-01,-2.744060456752777100e-01,-7.631781697273254395e-01
5.830554664134979248e-02,6.389788985252380371e-01,1.237438842654228210e-01,6.675583720207214355e-01
1.356366276741027832e-02,3.312846720218658447e-01,7.174825761467218399e-03,3.796543776988983154e-01
9.661423414945602417e-02,-6.588513851165771484e-01,7.704722881317138672e-02,-5.319091081619262695e-01
4.395801946520805359e-02,3.686212003231048584e-02,-4.925388991832733154e-01,-2.145380824804306030e-01
